Municipios;Sexo;Periodo;Total
08005 Ametlla del Vallès, L';Hombres;2007;3.833
08005 Ametlla del Vallès, L';Hombres;2006;3.756
08005 Ametlla del Vallès, L';Hombres;2005;3.652
08005 Ametlla del Vallès, L';Hombres;2004;3.558
08005 Ametlla del Vallès, L';Hombres;2003;3.364
08005 Ametlla del Vallès, L';Hombres;2002;3.132
08005 Ametlla del Vallès, L';Hombres;2001;2.910
08005 Ametlla del Vallès, L';Hombres;2000;2.823
08005 Ametlla del Vallès, L';Hombres;1999;2.601
08005 Ametlla del Vallès, L';Hombres;1998;2.477
08005 Ametlla del Vallès, L';Hombres;1997;""
08005 Ametlla del Vallès, L';Hombres;1996;2.328
08005 Ametlla del Vallès, L';Mujeres;2025;4.696
08005 Ametlla del Vallès, L';Mujeres;2024;4.698
08005 Ametlla del Vallès, L';Mujeres;2023;4.630
08005 Ametlla del Vallès, L';Mujeres;2022;4.491
08005 Ametlla del Vallès, L';Mujeres;2021;4.360
08005 Ametlla del Vallès, L';Mujeres;2020;4.288
08005 Ametlla del Vallès, L';Mujeres;2019;4.185
08005 Ametlla del Vallès, L';Mujeres;2018;4.211
08005 Ametlla del Vallès, L';Mujeres;2017;4.140
08005 Ametlla del Vallès, L';Mujeres;2016;4.138
08005 Ametlla del Vallès, L';Mujeres;2015;4.125
08005 Ametlla del Vallès, L';Mujeres;2014;4.106
08005 Ametlla del Vallès, L';Mujeres;2013;4.098
08005 Ametlla del Vallès, L';Mujeres;2012;4.071
08005 Ametlla del Vallès, L';Mujeres;2011;4.030
08005 Ametlla del Vallès, L';Mujeres;2010;4.039
08005 Ametlla del Vallès, L';Mujeres;2009;3.958
08005 Ametlla del Vallès, L';Mujeres;2008;3.903
08005 Ametlla del Vallès, L';Mujeres;2007;3.799
08005 Ametlla del Vallès, L';Mujeres;2006;3.761
08005 Ametlla del Vallès, L';Mujeres;2005;3.667
08005 Ametlla del Vallès, L';Mujeres;2004;3.553
08005 Ametlla del Vallès, L';Mujeres;2003;3.393
08005 Ametlla del Vallès, L';Mujeres;2002;3.196
08005 Ametlla del Vallès, L';Mujeres;2001;3.000
08005 Ametlla del Vallès, L';Mujeres;2000;2.874
08005 Ametlla del Vallès, L';Mujeres;1999;2.693
08005 Ametlla del Vallès, L';Mujeres;1998;2.564
08005 Ametlla del Vallès, L';Mujeres;1997;""
08005 Ametlla del Vallès, L';Mujeres;1996;2.443
08006 Arenys de Mar;Total;2025;17.042
08006 Arenys de Mar;Total;2024;16.642
