Municipios;Sexo;Periodo;Total
17003 Albanyà;Mujeres;1997;""
17003 Albanyà;Mujeres;1996;59
17004 Albons;Total;2025;845
17004 Albons;Total;2024;830
17004 Albons;Total;2023;819
17004 Albons;Total;2022;797
17004 Albons;Total;2021;798
17004 Albons;Total;2020;759
17004 Albons;Total;2019;776
17004 Albons;Total;2018;765
17004 Albons;Total;2017;769
17004 Albons;Total;2016;765
17004 Albons;Total;2015;745
17004 Albons;Total;2014;727
17004 Albons;Total;2013;739
17004 Albons;Total;2012;714
17004 Albons;Total;2011;709
17004 Albons;Total;2010;710
17004 Albons;Total;2009;687
17004 Albons;Total;2008;666
17004 Albons;Total;2007;625
17004 Albons;Total;2006;620
17004 Albons;Total;2005;589
17004 Albons;Total;2004;574
17004 Albons;Total;2003;607
17004 Albons;Total;2002;588
17004 Albons;Total;2001;596
17004 Albons;Total;2000;572
17004 Albons;Total;1999;564
17004 Albons;Total;1998;528
17004 Albons;Total;1997;""
17004 Albons;Total;1996;513
17004 Albons;Hombres;2025;428
17004 Albons;Hombres;2024;425
17004 Albons;Hombres;2023;425
17004 Albons;Hombres;2022;415
17004 Albons;Hombres;2021;407
17004 Albons;Hombres;2020;391
17004 Albons;Hombres;2019;401
17004 Albons;Hombres;2018;396
17004 Albons;Hombres;2017;381
17004 Albons;Hombres;2016;387
17004 Albons;Hombres;2015;382
17004 Albons;Hombres;2014;375
17004 Albons;Hombres;2013;387
17004 Albons;Hombres;2012;370
17004 Albons;Hombres;2011;368
17004 Albons;Hombres;2010;369
17004 Albons;Hombres;2009;358
17004 Albons;Hombres;2008;345
17004 Albons;Hombres;2007;327
17004 Albons;Hombres;2006;329
17004 Albons;Hombres;2005;308
17004 Albons;Hombres;2004;304
17004 Albons;Hombres;2003;322
17004 Albons;Hombres;2002;307
17004 Albons;Hombres;2001;316
17004 Albons;Hombres;2000;300
17004 Albons;Hombres;1999;293
17004 Albons;Hombres;1998;273
17004 Albons;Hombres;1997;""
17004 Albons;Hombres;1996;264
17004 Albons;Mujeres;2025;417
17004 Albons;Mujeres;2024;405
17004 Albons;Mujeres;2023;394
17004 Albons;Mujeres;2022;382
17004 Albons;Mujeres;2021;391
17004 Albons;Mujeres;2020;368
17004 Albons;Mujeres;2019;375
17004 Albons;Mujeres;2018;369
17004 Albons;Mujeres;2017;388
17004 Albons;Mujeres;2016;378
17004 Albons;Mujeres;2015;363
17004 Albons;Mujeres;2014;352
17004 Albons;Mujeres;2013;352
17004 Albons;Mujeres;2012;344
17004 Albons;Mujeres;2011;341
17004 Albons;Mujeres;2010;341
17004 Albons;Mujeres;2009;329
17004 Albons;Mujeres;2008;321
17004 Albons;Mujeres;2007;298
17004 Albons;Mujeres;2006;291
17004 Albons;Mujeres;2005;281
17004 Albons;Mujeres;2004;270
17004 Albons;Mujeres;2003;285
17004 Albons;Mujeres;2002;281
17004 Albons;Mujeres;2001;280
17004 Albons;Mujeres;2000;272
17004 Albons;Mujeres;1999;271
17004 Albons;Mujeres;1998;255
17004 Albons;Mujeres;1997;""
17004 Albons;Mujeres;1996;249
17006 Alp;Total;2025;1.724
17006 Alp;Total;2024;1.728
17006 Alp;Total;2023;1.719
17006 Alp;Total;2022;1.717
17006 Alp;Total;2021;1.645
17006 Alp;Total;2020;1.593
17006 Alp;Total;2019;1.580
17006 Alp;Total;2018;1.559
17006 Alp;Total;2017;1.499
17006 Alp;Total;2016;1.536
17006 Alp;Total;2015;1.595
17006 Alp;Total;2014;1.661
17006 Alp;Total;2013;1.712
17006 Alp;Total;2012;1.745
17006 Alp;Total;2011;1.743
17006 Alp;Total;2010;1.733
17006 Alp;Total;2009;1.735
17006 Alp;Total;2008;1.686
17006 Alp;Total;2007;1.576
17006 Alp;Total;2006;1.467
17006 Alp;Total;2005;1.389
17006 Alp;Total;2004;1.315
17006 Alp;Total;2003;1.297
17006 Alp;Total;2002;1.272
17006 Alp;Total;2001;1.231
17006 Alp;Total;2000;1.194
17006 Alp;Total;1999;1.127
17006 Alp;Total;1998;1.105
17006 Alp;Total;1997;""
17006 Alp;Total;1996;1.012
17006 Alp;Hombres;2025;901
17006 Alp;Hombres;2024;892
17006 Alp;Hombres;2023;899
17006 Alp;Hombres;2022;894
17006 Alp;Hombres;2021;849
17006 Alp;Hombres;2020;823
17006 Alp;Hombres;2019;828
17006 Alp;Hombres;2018;809
17006 Alp;Hombres;2017;775
17006 Alp;Hombres;2016;800
17006 Alp;Hombres;2015;835
17006 Alp;Hombres;2014;876
17006 Alp;Hombres;2013;908
17006 Alp;Hombres;2012;927
17006 Alp;Hombres;2011;927
17006 Alp;Hombres;2010;928
17006 Alp;Hombres;2009;918
17006 Alp;Hombres;2008;885
17006 Alp;Hombres;2007;823
17006 Alp;Hombres;2006;771
17006 Alp;Hombres;2005;726
17006 Alp;Hombres;2004;691
17006 Alp;Hombres;2003;685
17006 Alp;Hombres;2002;673
17006 Alp;Hombres;2001;651
17006 Alp;Hombres;2000;620
17006 Alp;Hombres;1999;582
17006 Alp;Hombres;1998;570
17006 Alp;Hombres;1997;""
17006 Alp;Hombres;1996;525
17006 Alp;Mujeres;2025;823
17006 Alp;Mujeres;2024;836
17006 Alp;Mujeres;2023;820
17006 Alp;Mujeres;2022;823
17006 Alp;Mujeres;2021;796
17006 Alp;Mujeres;2020;770
17006 Alp;Mujeres;2019;752
17006 Alp;Mujeres;2018;750
17006 Alp;Mujeres;2017;724
17006 Alp;Mujeres;2016;736
17006 Alp;Mujeres;2015;760
17006 Alp;Mujeres;2014;785
17006 Alp;Mujeres;2013;804
17006 Alp;Mujeres;2012;818
17006 Alp;Mujeres;2011;816
17006 Alp;Mujeres;2010;805
