Municipios;Sexo;Periodo;Total
25038 Aitona;Total;2018;2.545
25038 Aitona;Total;2017;2.548
25038 Aitona;Total;2016;2.523
25038 Aitona;Total;2015;2.456
25038 Aitona;Total;2014;2.415
25038 Aitona;Total;2013;2.402
25038 Aitona;Total;2012;2.419
25038 Aitona;Total;2011;2.405
25038 Aitona;Total;2010;2.393
25038 Aitona;Total;2009;2.398
25038 Aitona;Total;2008;2.345
25038 Aitona;Total;2007;2.376
25038 Aitona;Total;2006;2.370
25038 Aitona;Total;2005;2.322
25038 Aitona;Total;2004;2.248
25038 Aitona;Total;2003;2.218
25038 Aitona;Total;2002;2.193
25038 Aitona;Total;2001;2.183
25038 Aitona;Total;2000;2.186
25038 Aitona;Total;1999;2.193
25038 Aitona;Total;1998;2.184
25038 Aitona;Total;1997;""
25038 Aitona;Total;1996;2.183
25038 Aitona;Hombres;2025;1.376
25038 Aitona;Hombres;2024;1.386
25038 Aitona;Hombres;2023;1.349
25038 Aitona;Hombres;2022;1.320
25038 Aitona;Hombres;2021;1.311
25038 Aitona;Hombres;2020;1.338
25038 Aitona;Hombres;2019;1.358
25038 Aitona;Hombres;2018;1.328
25038 Aitona;Hombres;2017;1.321
25038 Aitona;Hombres;2016;1.300
25038 Aitona;Hombres;2015;1.249
25038 Aitona;Hombres;2014;1.225
25038 Aitona;Hombres;2013;1.234
25038 Aitona;Hombres;2012;1.246
25038 Aitona;Hombres;2011;1.259
25038 Aitona;Hombres;2010;1.258
25038 Aitona;Hombres;2009;1.256
25038 Aitona;Hombres;2008;1.211
25038 Aitona;Hombres;2007;1.239
25038 Aitona;Hombres;2006;1.241
25038 Aitona;Hombres;2005;1.211
25038 Aitona;Hombres;2004;1.155
25038 Aitona;Hombres;2003;1.123
25038 Aitona;Hombres;2002;1.111
25038 Aitona;Hombres;2001;1.099
25038 Aitona;Hombres;2000;1.086
25038 Aitona;Hombres;1999;1.095
25038 Aitona;Hombres;1998;1.085
25038 Aitona;Hombres;1997;""
25038 Aitona;Hombres;1996;1.078
25038 Aitona;Mujeres;2025;1.215
25038 Aitona;Mujeres;2024;1.217
25038 Aitona;Mujeres;2023;1.208
25038 Aitona;Mujeres;2022;1.201
25038 Aitona;Mujeres;2021;1.182
25038 Aitona;Mujeres;2020;1.229
25038 Aitona;Mujeres;2019;1.233
25038 Aitona;Mujeres;2018;1.217
25038 Aitona;Mujeres;2017;1.227
25038 Aitona;Mujeres;2016;1.223
25038 Aitona;Mujeres;2015;1.207
25038 Aitona;Mujeres;2014;1.190
25038 Aitona;Mujeres;2013;1.168
25038 Aitona;Mujeres;2012;1.173
25038 Aitona;Mujeres;2011;1.146
25038 Aitona;Mujeres;2010;1.135
25038 Aitona;Mujeres;2009;1.142
25038 Aitona;Mujeres;2008;1.134
25038 Aitona;Mujeres;2007;1.137
25038 Aitona;Mujeres;2006;1.129
25038 Aitona;Mujeres;2005;1.111
25038 Aitona;Mujeres;2004;1.093
25038 Aitona;Mujeres;2003;1.095
25038 Aitona;Mujeres;2002;1.082
25038 Aitona;Mujeres;2001;1.084
25038 Aitona;Mujeres;2000;1.100
25038 Aitona;Mujeres;1999;1.098
25038 Aitona;Mujeres;1998;1.099
25038 Aitona;Mujeres;1997;""
25038 Aitona;Mujeres;1996;1.105
25004 Alamús, Els;Total;2025;835
25004 Alamús, Els;Total;2024;800
25004 Alamús, Els;Total;2023;794
25004 Alamús, Els;Total;2022;781
25004 Alamús, Els;Total;2021;773
25004 Alamús, Els;Total;2020;811
25004 Alamús, Els;Total;2019;819
25004 Alamús, Els;Total;2018;796
25004 Alamús, Els;Total;2017;777
25004 Alamús, Els;Total;2016;799
25004 Alamús, Els;Total;2015;778
25004 Alamús, Els;Total;2014;769
25004 Alamús, Els;Total;2013;752
25004 Alamús, Els;Total;2012;751
25004 Alamús, Els;Total;2011;748
25004 Alamús, Els;Total;2010;739
25004 Alamús, Els;Total;2009;740
25004 Alamús, Els;Total;2008;724
25004 Alamús, Els;Total;2007;722
25004 Alamús, Els;Total;2006;701
25004 Alamús, Els;Total;2005;734
25004 Alamús, Els;Total;2004;724
25004 Alamús, Els;Total;2003;691
25004 Alamús, Els;Total;2002;693
25004 Alamús, Els;Total;2001;696
25004 Alamús, Els;Total;2000;698
25004 Alamús, Els;Total;1999;672
25004 Alamús, Els;Total;1998;679
25004 Alamús, Els;Total;1997;""
25004 Alamús, Els;Total;1996;671
25004 Alamús, Els;Hombres;2025;427
25004 Alamús, Els;Hombres;2024;409
25004 Alamús, Els;Hombres;2023;398
25004 Alamús, Els;Hombres;2022;389
25004 Alamús, Els;Hombres;2021;390
25004 Alamús, Els;Hombres;2020;412
25004 Alamús, Els;Hombres;2019;412
25004 Alamús, Els;Hombres;2018;421
25004 Alamús, Els;Hombres;2017;411
25004 Alamús, Els;Hombres;2016;419
25004 Alamús, Els;Hombres;2015;404
25004 Alamús, Els;Hombres;2014;403
25004 Alamús, Els;Hombres;2013;395
25004 Alamús, Els;Hombres;2012;408
25004 Alamús, Els;Hombres;2011;403
25004 Alamús, Els;Hombres;2010;384
25004 Alamús, Els;Hombres;2009;384
25004 Alamús, Els;Hombres;2008;373
25004 Alamús, Els;Hombres;2007;370
25004 Alamús, Els;Hombres;2006;362
25004 Alamús, Els;Hombres;2005;384
25004 Alamús, Els;Hombres;2004;374
25004 Alamús, Els;Hombres;2003;350
25004 Alamús, Els;Hombres;2002;346
25004 Alamús, Els;Hombres;2001;348
25004 Alamús, Els;Hombres;2000;350
25004 Alamús, Els;Hombres;1999;337
25004 Alamús, Els;Hombres;1998;340
25004 Alamús, Els;Hombres;1997;""
25004 Alamús, Els;Hombres;1996;334
25004 Alamús, Els;Mujeres;2025;408
25004 Alamús, Els;Mujeres;2024;391
25004 Alamús, Els;Mujeres;2023;396
25004 Alamús, Els;Mujeres;2022;392
25004 Alamús, Els;Mujeres;2021;383
25004 Alamús, Els;Mujeres;2020;399
25004 Alamús, Els;Mujeres;2019;407
25004 Alamús, Els;Mujeres;2018;375
25004 Alamús, Els;Mujeres;2017;366
25004 Alamús, Els;Mujeres;2016;380
25004 Alamús, Els;Mujeres;2015;374
25004 Alamús, Els;Mujeres;2014;366
25004 Alamús, Els;Mujeres;2013;357
25004 Alamús, Els;Mujeres;2012;343
25004 Alamús, Els;Mujeres;2011;345
25004 Alamús, Els;Mujeres;2010;355
25004 Alamús, Els;Mujeres;2009;356
25004 Alamús, Els;Mujeres;2008;351
25004 Alamús, Els;Mujeres;2007;352
25004 Alamús, Els;Mujeres;2006;339
25004 Alamús, Els;Mujeres;2005;350
25004 Alamús, Els;Mujeres;2004;350
25004 Alamús, Els;Mujeres;2003;341
25004 Alamús, Els;Mujeres;2002;347
25004 Alamús, Els;Mujeres;2001;348
25004 Alamús, Els;Mujeres;2000;348
25004 Alamús, Els;Mujeres;1999;335
