Municipios;Sexo;Periodo;Total
43016 Arboç, L';Mujeres;2023;2.811
43016 Arboç, L';Mujeres;2022;2.752
43016 Arboç, L';Mujeres;2021;2.739
43015 Arbolí;Total;2025;138
43015 Arbolí;Total;2024;129
43015 Arbolí;Total;2023;129
43015 Arbolí;Total;2022;122
43015 Arbolí;Total;2021;126
43015 Arbolí;Hombres;2025;82
43015 Arbolí;Hombres;2024;76
43015 Arbolí;Hombres;2023;79
43015 Arbolí;Hombres;2022;74
43015 Arbolí;Hombres;2021;76
43015 Arbolí;Mujeres;2025;56
43015 Arbolí;Mujeres;2024;53
43015 Arbolí;Mujeres;2023;50
43015 Arbolí;Mujeres;2022;48
43015 Arbolí;Mujeres;2021;50
43017 Argentera, L';Total;2025;139
43017 Argentera, L';Total;2024;129
43017 Argentera, L';Total;2023;133
43017 Argentera, L';Total;2022;126
43017 Argentera, L';Total;2021;126
43017 Argentera, L';Hombres;2025;79
43017 Argentera, L';Hombres;2024;75
43017 Argentera, L';Hombres;2023;75
43017 Argentera, L';Hombres;2022;72
43017 Argentera, L';Hombres;2021;72
43017 Argentera, L';Mujeres;2025;60
43017 Argentera, L';Mujeres;2024;54
43017 Argentera, L';Mujeres;2023;58
43017 Argentera, L';Mujeres;2022;54
43017 Argentera, L';Mujeres;2021;54
43018 Arnes;Total;2025;461
43018 Arnes;Total;2024;463
43018 Arnes;Total;2023;455
43018 Arnes;Total;2022;448
43018 Arnes;Total;2021;441
43018 Arnes;Hombres;2025;228
43018 Arnes;Hombres;2024;232
43018 Arnes;Hombres;2023;218
43018 Arnes;Hombres;2022;222
43018 Arnes;Hombres;2021;218
43018 Arnes;Mujeres;2025;233
43018 Arnes;Mujeres;2024;231
43018 Arnes;Mujeres;2023;237
43018 Arnes;Mujeres;2022;226
43018 Arnes;Mujeres;2021;223
43019 Ascó;Total;2025;1.589
43019 Ascó;Total;2024;1.608
43019 Ascó;Total;2023;1.638
43019 Ascó;Total;2022;1.601
43019 Ascó;Total;2021;1.611
43019 Ascó;Hombres;2025;810
43019 Ascó;Hombres;2024;827
43019 Ascó;Hombres;2023;850
43019 Ascó;Hombres;2022;828
43019 Ascó;Hombres;2021;820
43019 Ascó;Mujeres;2025;779
43019 Ascó;Mujeres;2024;781
43019 Ascó;Mujeres;2023;788
43019 Ascó;Mujeres;2022;773
43019 Ascó;Mujeres;2021;791
43020 Banyeres del Penedès;Total;2025;3.395
43020 Banyeres del Penedès;Total;2024;3.347
43020 Banyeres del Penedès;Total;2023;3.356
43020 Banyeres del Penedès;Total;2022;3.271
43020 Banyeres del Penedès;Total;2021;3.280
43020 Banyeres del Penedès;Hombres;2025;1.697
43020 Banyeres del Penedès;Hombres;2024;1.671
43020 Banyeres del Penedès;Hombres;2023;1.690
43020 Banyeres del Penedès;Hombres;2022;1.643
43020 Banyeres del Penedès;Hombres;2021;1.659
43020 Banyeres del Penedès;Mujeres;2025;1.698
43020 Banyeres del Penedès;Mujeres;2024;1.676
43020 Banyeres del Penedès;Mujeres;2023;1.666
43020 Banyeres del Penedès;Mujeres;2022;1.628
43020 Banyeres del Penedès;Mujeres;2021;1.621
43021 Barberà de la Conca;Total;2025;476
43021 Barberà de la Conca;Total;2024;471
43021 Barberà de la Conca;Total;2023;486
43021 Barberà de la Conca;Total;2022;486
43021 Barberà de la Conca;Total;2021;472
43021 Barberà de la Conca;Hombres;2025;250
43021 Barberà de la Conca;Hombres;2024;257
43021 Barberà de la Conca;Hombres;2023;265
43021 Barberà de la Conca;Hombres;2022;267
43021 Barberà de la Conca;Hombres;2021;262
43021 Barberà de la Conca;Mujeres;2025;226
43021 Barberà de la Conca;Mujeres;2024;214
43021 Barberà de la Conca;Mujeres;2023;221
43021 Barberà de la Conca;Mujeres;2022;219
43021 Barberà de la Conca;Mujeres;2021;210
43022 Batea;Total;2025;1.875
43022 Batea;Total;2024;1.877
43022 Batea;Total;2023;1.869
43022 Batea;Total;2022;1.863
43022 Batea;Total;2021;1.879
43022 Batea;Hombres;2025;945
43022 Batea;Hombres;2024;933
43022 Batea;Hombres;2023;929
43022 Batea;Hombres;2022;925
43022 Batea;Hombres;2021;937
43022 Batea;Mujeres;2025;930
43022 Batea;Mujeres;2024;944
43022 Batea;Mujeres;2023;940
43022 Batea;Mujeres;2022;938
43022 Batea;Mujeres;2021;942
43023 Bellmunt del Priorat;Total;2025;290
43023 Bellmunt del Priorat;Total;2024;298
43023 Bellmunt del Priorat;Total;2023;284
43023 Bellmunt del Priorat;Total;2022;272
43023 Bellmunt del Priorat;Total;2021;281
43023 Bellmunt del Priorat;Hombres;2025;149
43023 Bellmunt del Priorat;Hombres;2024;157
43023 Bellmunt del Priorat;Hombres;2023;147
43023 Bellmunt del Priorat;Hombres;2022;136
43023 Bellmunt del Priorat;Hombres;2021;143
43023 Bellmunt del Priorat;Mujeres;2025;141
43023 Bellmunt del Priorat;Mujeres;2024;141
43023 Bellmunt del Priorat;Mujeres;2023;137
43023 Bellmunt del Priorat;Mujeres;2022;136
43023 Bellmunt del Priorat;Mujeres;2021;138
43024 Bellvei;Total;2025;2.460
43024 Bellvei;Total;2024;2.417
43024 Bellvei;Total;2023;2.368
43024 Bellvei;Total;2022;2.346
43024 Bellvei;Total;2021;2.303
43024 Bellvei;Hombres;2025;1.272
43024 Bellvei;Hombres;2024;1.248
43024 Bellvei;Hombres;2023;1.223
43024 Bellvei;Hombres;2022;1.189
43024 Bellvei;Hombres;2021;1.183
43024 Bellvei;Mujeres;2025;1.188
43024 Bellvei;Mujeres;2024;1.169
43024 Bellvei;Mujeres;2023;1.145
43024 Bellvei;Mujeres;2022;1.157
43024 Bellvei;Mujeres;2021;1.120
43025 Benifallet;Total;2025;706
43025 Benifallet;Total;2024;718
43025 Benifallet;Total;2023;733
43025 Benifallet;Total;2022;739
43025 Benifallet;Total;2021;741
43025 Benifallet;Hombres;2025;345
43025 Benifallet;Hombres;2024;350
43025 Benifallet;Hombres;2023;357
43025 Benifallet;Hombres;2022;360
43025 Benifallet;Hombres;2021;358
43025 Benifallet;Mujeres;2025;361
43025 Benifallet;Mujeres;2024;368
43025 Benifallet;Mujeres;2023;376
43025 Benifallet;Mujeres;2022;379
43025 Benifallet;Mujeres;2021;383
43026 Benissanet;Total;2025;1.186
43026 Benissanet;Total;2024;1.186
43026 Benissanet;Total;2023;1.159
43026 Benissanet;Total;2022;1.169
43026 Benissanet;Total;2021;1.129
43026 Benissanet;Hombres;2025;668
43026 Benissanet;Hombres;2024;654
43026 Benissanet;Hombres;2023;631
43026 Benissanet;Hombres;2022;641
43026 Benissanet;Hombres;2021;615
43026 Benissanet;Mujeres;2025;518
43026 Benissanet;Mujeres;2024;532
43026 Benissanet;Mujeres;2023;528
43026 Benissanet;Mujeres;2022;528
43026 Benissanet;Mujeres;2021;514
